ID,ページ,テキスト
tuto_start,1,「JumpHero」の世界にようこそ！
tuto_start,2,ここでは基本操作を教えます。
tuto_start,3,まずは移動してみよう！
tuto_jump_1,1,おっと！高い崖があるぞ…でも大丈夫！ジャンプしてみよう！
tuto_jump_2,1,ジャンプの高さは調節できる！
tuto_chest_1,1,宝箱がある！上に乗ってジャンプしてみよう！
tuto_chest_2,1,宝箱からアイテムが出てきた！
tuto_chest_2,2,アイテムに当たると取ることができるぞ！
tuto_coin,1,コインは取るとスコアが上がる！
tuto_balloon,1,風船がある！取ってみよう！
tuto_medal,1,メダルが出てきた！
tuto_power_1,1,Bボタンを押すとメダルを一枚使って強化ができるぞ！
tuto_power_1,2,強化状態では宝箱を横から開けることができるぞ！
tuto_power_2,1,強化ができた！宝箱に横から当たってみよう！
tuto_enemy,1,敵が出てきた！当たるとミスになるぞ！
tuto_goal,1,ドアが開いた！
info_move,1,左右で移動
info_jump_1,1,Aボタンでジャンプ！
info_jump_2,1,上入力しながらジャンプで高く、下入力しながらジャンプで低く飛ぶ
info_jump_2,2,ジャンプ中にもう一度Aボタンを押すとその場で少し浮かぶ！
info_chest,1,宝箱の上でAボタン！
info_item,1,出てきたアイテムに触れてみよう！
info_balloon,1,風船に触れてみよう！
