ID,TriggerType,TriggerParam,ActionType,ActionParam
1,GameStart,0,FreezeGame,0
2,GameStart,0,ShowText,tuto_start
3,GameStart,0,WaitInput,0
4,EnterArea,1,FreezeGame,0
5,EnterArea,1,ShowText,tuto_jump_1
6,EnterArea,1,WaitInput,0
7,EnterArea,2,FreezeGame,0
8,EnterArea,2,ShowText,tuto_jump_2
9,EnterArea,2,WaitInput,0
10,EnterArea,3,FreezeGame,0
11,EnterArea,3,ShowText,tuto_chest_1
12,EnterArea,3,WaitInput,0
13,OpenChest,1,DropItem,coin
14,OpenChest,1,FreezeGame,0
15,OpenChest,1,ShowText,tuto_chest_2
16,OpenChest,1,WaitInput,0
17,GetItem,coin,FreezeGame,0
18,GetItem,coin,ShowText,tuto_coin
19,GetItem,coin,WaitInput,0
20,EnterArea,4,FreezeGame,0
21,EnterArea,4,ShowText,tuto_balloon
22,EnterArea,4,WaitInput,0
23,OpenChest,4,DropItem,medal
24,OpenChest,4,FreezeGame,0
25,OpenChest,4,ShowText,tuto_medal
26,OpenChest,4,WaitInput,0
27,GetItem,medal,FreezeGame,0
28,GetItem,medal,ShowText,tuto_power_1
29,GetItem,medal,WaitInput,0
30,PlayerPowerUp,0,FreezeGame,0
31,PlayerPowerUp,0,ShowText,tuto_power_2
32,PlayerPowerUp,0,WaitInput,0
